dev_id	total_seat
"220764-10287"	"143"
"220764-10288"	"167"
"220764-10252"	"106"
"220764-10271"	"381"
"220764-10272"	"113"
"220764-10273"	"203"
"220764-10274"	"104"
"220764-10275"	"168"
"220764-10276"	"40"
"220764-10377"	"111"
"220764-10387"	"113"
"220764-10389"	"113"
"220764-10391"	"63"
"220764-10393"	"68"
"220764-10395"	"51"
"220764-10397"	"52"
"220764-10399"	"63"
"220764-10401"	"158"
"220764-10402"	"154"
"220764-10447"	"235"
"220764-10449"	"168"
"220764-10451"	"168"
"220764-10453"	"168"
"220764-10455"	"168"
"220764-10457"	"168"
"220764-10459"	"168"
"220764-10461"	"125"
"220764-10463"	"125"
"220764-10550"	"113"
"220764-10553"	"114"
"220764-10556"	"115"
"220764-10559"	"114"
"220764-10631"	"59"
"220764-10632"	"59"
"220764-10633"	"59"
"220764-10634"	"59"
"220764-10635"	"182"
"220764-10636"	"104"
"220764-10637"	"104"
"220764-10638"	"104"
"220764-10661"	"143"
"220764-10662"	"147"
"220764-10663"	"145"
"220764-10664"	"140"
"220764-10665"	"141"
"220764-10666"	"153"
"220764-4736"	"49"
"220764-4748"	"49"
"220764-10681"	"48"
"220764-10685"	"49"
"220764-10724"	"76"
"220764-10733"	"78"
"220764-10735"	"78"
"220764-10737"	"78"
"220764-10739"	"312"
"220764-10741"	"134"
"220764-10743"	"135"
"220764-10745"	"134"
"220764-10747"	"134"
"220764-10771"	"67"
"220764-10773"	"67"
"220764-10775"	"67"
"220764-10777"	"76"
"220764-10779"	"67"
"220764-10781"	"67"
"220764-10783"	"67"
"220764-10793"	"40"
"220764-10794"	"158"
"220764-10795"	"40"
"220764-10796"	"158"
"220764-10797"	"158"
"220764-10798"	"40"
"220764-10799"	"40"
"220764-10800"	"40"
"220764-10801"	"0"
"220764-10802"	"0"
"220764-10803"	"0"
"220764-10804"	"0"
"220764-10805"	"0"
"220764-10806"	"0"
"220764-2669"	"158"
"220764-2688"	"40"
"220764-2698"	"40"
"220764-10813"	"75"
"220764-10834"	"67"
"220764-10836"	"74"
"220764-10838"	"60"
"220764-10840"	"72"
"220764-10842"	"74"
"220764-10844"	"75"
"220764-10846"	"75"
"220764-10848"	"98"
"220764-10850"	"100"
"220764-10852"	"83"
"220764-10854"	"83"
"220764-10856"	"83"
"220764-10858"	"83"
"220764-10860"	"75"
"220764-10862"	"74"
"220764-10864"	"72"
"220764-10866"	"67"
"220764-10868"	"74"
"220764-10870"	"67"
"220764-10953"	"88"
"220764-10913"	"97"
"220764-10931"	"97"
"220764-10934"	"83"
"220764-10936"	"97"
"220764-10940"	"96"
"220764-10943"	"96"
"220764-10946"	"88"
"220764-10949"	"88"
"220764-10952"	"64"
"220764-10714"	"88"
""	"252"
"220764-10957"	""
"220764-10958"	""
"220764-10959"	""
"220764-10960"	""
"220764-10961"	""
"220764-11132"	"50"
"220764-11133"	"50"
"220764-11134"	"50"
"220764-11135"	"50"
"220764-11136"	"50"
"220764-11137"	"50"
"220764-11138"	"50"
"220764-11139"	"50"
"220764-11140"	"50"
"220764-11141"	"50"
"220764-11142"	"50"
"220764-11143"	"50"
"220764-11144"	"50"
"220764-11145"	"50"
"220764-11146"	"50"
"220764-11147"	"50"
"220764-11148"	"50"
"220764-11149"	"50"
"220764-11150"	"50"
"220764-11151"	"50"
"220764-11152"	"50"
"220764-11153"	"50"
"220764-11188"	"88"
"220764-11192"	"88"
"220764-11193"	"88"
"220764-11195"	"63"
"220764-11203"	"49"
"220764-11207"	"49"
"220764-11211"	"49"
"220764-11215"	"48"
"220764-11219"	"49"
"220764-11224"	"49"
"220764-8956"	""
"220764-7752"	""
"220764-8642"	""
"220764-11254"	"80"
"220764-11255"	"81"
"220764-11256"	"83"
"220764-11257"	"55"
"220764-11259"	"72"
"220764-11260"	"101"
"220764-11264"	"92"
"220764-11265"	"103"
"220764-11268"	"63"
"220764-11269"	"49"
"220764-11270"	"49"
"220764-11275"	"88"
"220764-11334"	"75"
"220764-11336"	"74"
"220764-11338"	"64"
"220764-11340"	"64"
"220764-11342"	"72"
